acr_repo,ecr_repo,acr_tags,acr_manifests,ecr_tags,ecr_manifests,tags_match,manifests_match
oneacrefund/tupande_timiza,oneacrefund/tupande_timiza,0,0,0,0,YES,YES
oneacrefund/uptime-kuma-wrapper,oneacrefund/uptime-kuma-wrapper,0,0,0,0,YES,YES
oneacrefund/uptime-wrapper-api,oneacrefund/uptime-wrapper-api,0,0,0,0,YES,YES
openfaas/faas-netes,openfaas/faas-netes,0,0,0,0,YES,YES
openfaas/gateway,openfaas/gateway,0,0,0,0,YES,YES
openfaas/of-watchdog,openfaas/of-watchdog,0,0,0,0,YES,YES
openfaas/queue-worker,openfaas/queue-worker,0,0,0,0,YES,YES
phee-ns/message-gateway,phee-ns/message-gateway,0,0,0,0,YES,YES
phee-ns/ops-web,phee-ns/ops-web,0,0,0,0,YES,YES
phee-ns/ph-ee-connector-ams-paygops,phee-ns/ph-ee-connector-ams-paygops,0,0,0,0,YES,YES
phee-ns/ph-ee-connector-ams-pesa,phee-ns/ph-ee-connector-ams-pesa,0,0,0,0,YES,YES
phee-ns/ph-ee-connector-channel,phee-ns/ph-ee-connector-channel,0,0,0,0,YES,YES
phee-ns/ph-ee-connector-mpesa,phee-ns/ph-ee-connector-mpesa,0,0,0,0,YES,YES
phee-ns/ph-ee-connector-slcb,phee-ns/ph-ee-connector-slcb,0,0,0,0,YES,YES
phee-ns/ph-ee-importer-es,phee-ns/ph-ee-importer-es,0,0,0,0,YES,YES
phee-ns/ph-ee-importer-rdbms,phee-ns/ph-ee-importer-rdbms,0,0,0,0,YES,YES
phee-ns/ph-ee-notifications,phee-ns/ph-ee-notifications,0,0,0,0,YES,YES
phee-ns/ph-ee-operations-app,phee-ns/ph-ee-operations-app,0,0,0,0,YES,YES
phee-ns/ph-ee-operations-web,phee-ns/ph-ee-operations-web,0,0,0,0,YES,YES
phee-ns/ph-ee-ops-web,phee-ns/ph-ee-ops-web,0,0,0,0,YES,YES
phee-ns/phee-bulk-processor,phee-ns/phee-bulk-processor,0,0,0,0,YES,YES
phee-ns/phee-zeebe-ops,phee-ns/phee-zeebe-ops,0,0,0,0,YES,YES
prom/alertmanager,prom/alertmanager,0,0,0,0,YES,YES
prom/prometheus,prom/prometheus,0,0,0,0,YES,YES
rabbitmq,rabbitmq,0,0,0,0,YES,YES
rclone-image,rclone-image,0,0,0,0,YES,YES
risk-register,risk-register,0,0,0,0,YES,YES
shs-service,shs-service,0,0,0,0,YES,YES
tools/pg-restore,tools/pg-restore,0,0,0,0,YES,YES
us.icr.io/phee-ns/ph-ee-notifications,us.icr.io/phee-ns/ph-ee-notifications,0,0,0,0,YES,YES
TOTAL,,0,0,206,579,,
