acr_repo,ecr_repo,acr_tags,ecr_tags,acr_tags_missing_from_ecr,ecr_only_tags,tags_synced,acr_manifests,ecr_manifests,acr_manifests_missing_from_ecr,ecr_only_manifests,manifests_synced
oneacrefund/couchbase-duma,oneacrefund/couchbase-duma,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/dbt,oneacrefund/dbt,6,6,0,0,YES,6,6,0,0,YES
oneacrefund/dumaapi,oneacrefund/dumaapi,5,5,0,0,YES,5,5,0,0,YES
oneacrefund/elasticsearch,oneacrefund/elasticsearch,32,32,0,0,YES,3,3,0,0,YES
oneacrefund/erply-cache,oneacrefund/erply-cache,40,40,0,0,YES,40,40,0,0,YES
oneacrefund/erply-connector,oneacrefund/erply-connector,31,31,0,0,YES,31,31,0,0,YES
oneacrefund/erply-consumer,oneacrefund/erply-consumer,60,60,0,0,YES,60,60,0,0,YES
oneacrefund/erply-create-payment,oneacrefund/erply-create-payment,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/erply-payment,oneacrefund/erply-payment,40,40,0,0,YES,40,40,0,0,YES
oneacrefund/event-publisher,oneacrefund/event-publisher,4,4,0,0,YES,4,4,0,0,YES
oneacrefund/fds-api,oneacrefund/fds-api,60,106,0,46,YES,114,106,17,9,NO
oneacrefund/fds-consumer,oneacrefund/fds-consumer,60,70,0,10,YES,78,70,10,2,NO
oneacrefund/ffp-consumer,oneacrefund/ffp-consumer,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/fineract-backend,oneacrefund/fineract-backend,63,91,2,30,NO,122,90,32,0,NO
oneacrefund/fineract-frontend,oneacrefund/fineract-frontend,60,60,0,0,YES,86,86,0,0,YES
oneacrefund/fineract-frontend-v2,oneacrefund/fineract-frontend-v2,60,77,0,17,YES,115,82,33,0,NO
oneacrefund/fleet,oneacrefund/fleet,3,3,0,0,YES,4,4,0,0,YES
oneacrefund/flink,oneacrefund/flink,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/jenkins,oneacrefund/jenkins,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/k8s-elastalert,oneacrefund/k8s-elastalert,7,7,0,0,YES,7,7,0,0,YES
oneacrefund/k8s-kibana,oneacrefund/k8s-kibana,60,96,0,36,YES,181,194,0,13,YES
oneacrefund/k8s-logstash,oneacrefund/k8s-logstash,57,57,0,0,YES,57,57,0,0,YES
oneacrefund/k8s-logstash-polling,oneacrefund/k8s-logstash-polling,57,57,0,0,YES,57,57,0,0,YES
oneacrefund/keycloak-api,oneacrefund/keycloak-api,61,86,0,25,YES,122,89,38,5,NO
oneacrefund/keycloak-themes,oneacrefund/keycloak-themes,60,60,0,0,YES,59,59,0,0,YES
oneacrefund/kibana,oneacrefund/kibana,32,32,0,0,YES,26,26,0,0,YES
oneacrefund/knowi-agent,oneacrefund/knowi-agent,2,2,0,0,YES,2,2,0,0,YES
oneacrefund/logistics-app,oneacrefund/logistics-app,40,40,0,0,YES,56,56,0,0,YES
oneacrefund/logstash,oneacrefund/logstash,8,8,0,0,YES,9,9,0,0,YES
oneacrefund/master-data-odoo-consumer,oneacrefund/master-data-odoo-consumer,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/message-gateway,oneacrefund/message-gateway,60,63,0,3,YES,60,62,0,2,YES
oneacrefund/metabase,oneacrefund/metabase,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/mpesa-connector,oneacrefund/mpesa-connector,31,31,0,0,YES,33,34,0,1,YES
oneacrefund/msg-refresh-v3,oneacrefund/msg-refresh-v3,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/mtn-connector,oneacrefund/mtn-connector,39,41,0,2,YES,40,42,0,2,YES
oneacrefund/mw-ai-services,oneacrefund/mw-ai-services,37,37,0,0,YES,37,37,0,0,YES
oneacrefund/my-project-api,oneacrefund/my-project-api,11,11,0,0,YES,17,11,6,0,NO
oneacrefund/my-project-worker,oneacrefund/my-project-worker,8,8,0,0,YES,14,8,6,0,NO
oneacrefund/n8n,oneacrefund/n8n,45,45,0,0,YES,77,77,0,0,YES
oneacrefund/notificationapi,oneacrefund/notificationapi,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/oaf-client-update,oneacrefund/oaf-client-update,2,2,0,0,YES,2,2,0,0,YES
oneacrefund/oaf-dbt,oneacrefund/oaf-dbt,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/oaf-jenkins,oneacrefund/oaf-jenkins,60,74,0,14,YES,17,1,16,0,NO
oneacrefund/oaf-logstash,oneacrefund/oaf-logstash,8,8,0,0,YES,21,21,0,0,YES
oneacrefund/oaf-moodle,oneacrefund/oaf-moodle,40,40,0,0,YES,66,66,0,0,YES
oneacrefund/oaf-odoo-data-migration,oneacrefund/oaf-odoo-data-migration,2,2,0,0,YES,2,2,0,0,YES
oneacrefund/oaf-toolbox,oneacrefund/oaf-toolbox,8,8,0,0,YES,8,8,0,0,YES
oneacrefund/ocs-fulfillment-plan,oneacrefund/ocs-fulfillment-plan,60,60,0,0,YES,60,60,0,0,YES
oneacrefund/ocs-reserve-consumer,oneacrefund/ocs-reserve-consumer,60,60,0,0,YES,60,60,0,0,YES
oneacrefund/odoo,oneacrefund/odoo,63,160,2,99,NO,246,477,6,237,NO
oneacrefund/odoo-cache,oneacrefund/odoo-cache,40,40,0,0,YES,40,40,0,0,YES
oneacrefund/odoo-locust,oneacrefund/odoo-locust,0,1,0,1,YES,0,1,0,1,YES
oneacrefund/odoo-procurement,oneacrefund/odoo-procurement,13,13,0,0,YES,39,39,0,0,YES
oneacrefund/odoo-producer,oneacrefund/odoo-producer,60,62,0,2,YES,78,64,16,2,NO
oneacrefund/odoo-sapb1-consumer,oneacrefund/odoo-sapb1-consumer,60,84,0,24,YES,120,86,47,13,NO
oneacrefund/odoo-sapb1-sales-consumer,oneacrefund/odoo-sapb1-sales-consumer,60,65,0,5,YES,120,65,58,3,NO
oneacrefund/odoo-service,oneacrefund/odoo-service,0,0,0,0,YES,0,0,0,0,YES
oneacrefund/odoo-utilities,oneacrefund/odoo-utilities,61,110,0,49,YES,243,330,0,87,YES
oneacrefund/offlinewritesserviceapi,oneacrefund/offlinewritesserviceapi,60,65,0,5,YES,240,195,45,0,NO
oneacrefund/oneacrefund,oneacrefund/oneacrefund,4,4,0,0,YES,8,4,4,0,NO
oneacrefund/operations-app,oneacrefund/operations-app,30,31,0,1,YES,32,33,0,1,YES
oneacrefund/orderingservice,oneacrefund/orderingservice,7,7,0,0,YES,7,7,0,0,YES
oneacrefund/paygops-ams-connector,oneacrefund/paygops-ams-connector,14,14,0,0,YES,13,13,0,0,YES
oneacrefund/payment-gateway-consumer,oneacrefund/payment-gateway-consumer,60,63,0,3,YES,78,63,15,0,NO
oneacrefund/payment-gateway-wrapper,oneacrefund/payment-gateway-wrapper,60,69,0,9,YES,136,117,19,0,NO
oneacrefund/paymentconsumer,oneacrefund/paymentconsumer,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/payments_pesa_autosave_consumer,oneacrefund/payments_pesa_autosave_consumer,16,16,0,0,YES,16,16,0,0,YES
oneacrefund/payments_pesa_core,oneacrefund/payments_pesa_core,14,14,0,0,YES,14,14,0,0,YES
oneacrefund/payments_pesa_equity_bank,oneacrefund/payments_pesa_equity_bank,16,16,0,0,YES,16,16,0,0,YES
oneacrefund/payments_pesa_payment_consumer,oneacrefund/payments_pesa_payment_consumer,16,16,0,0,YES,16,16,0,0,YES
oneacrefund/pesa_autosave_consumer,oneacrefund/pesa_autosave_consumer,60,60,0,0,YES,60,60,0,0,YES
oneacrefund/pesa_bancobu,oneacrefund/pesa_bancobu,40,40,0,0,YES,40,40,0,0,YES
oneacrefund/pesa_bank_of_kigali,oneacrefund/pesa_bank_of_kigali,13,13,0,0,YES,13,13,0,0,YES
oneacrefund/pesa_bc,oneacrefund/pesa_bc,3,3,0,0,YES,3,3,0,0,YES
oneacrefund/pesa_beyonic,oneacrefund/pesa_beyonic,41,41,0,0,YES,41,41,0,0,YES
oneacrefund/pesa_bk,oneacrefund/pesa_bk,40,40,0,0,YES,40,40,0,0,YES
oneacrefund/pesa_core,oneacrefund/pesa_core,40,40,0,0,YES,40,40,0,0,YES
oneacrefund/pesa_equity_bank,oneacrefund/pesa_equity_bank,40,40,0,0,YES,40,40,0,0,YES
oneacrefund/pesa_fbn,oneacrefund/pesa_fbn,51,51,0,0,YES,51,51,0,0,YES
oneacrefund/pesa_first_bank,oneacrefund/pesa_first_bank,13,13,0,0,YES,13,13,0,0,YES
oneacrefund/pesa_payment_consumer,oneacrefund/pesa_payment_consumer,60,60,0,0,YES,60,60,0,0,YES
oneacrefund/ph-ee-connector-ams-fineract,oneacrefund/ph-ee-connector-ams-fineract,42,42,0,0,YES,43,43,0,0,YES
oneacrefund/ph-ee-connector-ams-odoo,oneacrefund/ph-ee-connector-ams-odoo,13,13,0,0,YES,15,18,0,3,YES
oneacrefund/ph-ee-connector-ams-pesa,oneacrefund/ph-ee-connector-ams-pesa,5,5,0,0,YES,5,5,0,0,YES
oneacrefund/ph-ee-connector-bancobu,oneacrefund/ph-ee-connector-bancobu,8,10,0,2,YES,10,12,0,2,YES
oneacrefund/ph-ee-connector-channel,oneacrefund/ph-ee-connector-channel,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/ph-ee-connector-mpesa,oneacrefund/ph-ee-connector-mpesa,7,7,0,0,YES,7,7,0,0,YES
oneacrefund/ph-ee-connector-nbs,oneacrefund/ph-ee-connector-nbs,6,6,0,0,YES,8,8,0,0,YES
oneacrefund/ph-ee-importer-es,oneacrefund/ph-ee-importer-es,3,4,0,1,YES,5,6,0,1,YES
oneacrefund/ph-ee-importer-rdbms,oneacrefund/ph-ee-importer-rdbms,12,12,0,0,YES,13,14,0,1,YES
oneacrefund/ph-ee-operations-web,oneacrefund/ph-ee-operations-web,44,44,0,0,YES,47,47,0,0,YES
oneacrefund/rabbitmq-connector,oneacrefund/rabbitmq-connector,3,9,0,6,YES,15,29,11,25,NO
oneacrefund/rabbitmq-external-connector,oneacrefund/rabbitmq-external-connector,60,61,0,1,YES,79,64,15,0,NO
oneacrefund/redis-service,oneacrefund/redis-service,60,60,0,0,YES,60,60,0,0,YES
oneacrefund/refresh,oneacrefund/refresh,60,103,0,43,YES,120,103,17,0,NO
oneacrefund/retry-service,oneacrefund/retry-service,60,60,0,0,YES,112,62,50,0,NO
oneacrefund/roster-dataset,oneacrefund/roster-dataset,60,103,0,43,YES,120,103,17,0,NO
oneacrefund/rts-api,oneacrefund/rts-api,60,60,0,0,YES,64,60,4,0,NO
oneacrefund/rts-consumer,oneacrefund/rts-consumer,60,65,0,5,YES,120,65,55,0,NO
oneacrefund/rts-ui,oneacrefund/rts-ui,40,40,0,0,YES,40,40,0,0,YES
oneacrefund/sage-300-core,oneacrefund/sage-300-core,40,40,0,0,YES,40,40,0,0,YES
oneacrefund/sage-300-cron-connector,oneacrefund/sage-300-cron-connector,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/sage-300-cron-proxy,oneacrefund/sage-300-cron-proxy,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/sage-300-rabbitmq-connector,oneacrefund/sage-300-rabbitmq-connector,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/sage-300-rabbitmq-proxy,oneacrefund/sage-300-rabbitmq-proxy,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/sanction-screen-api,oneacrefund/sanction-screen-api,60,61,0,1,YES,65,64,1,0,NO
oneacrefund/sapb1-cache,oneacrefund/sapb1-cache,40,40,0,0,YES,40,40,0,0,YES
oneacrefund/sapb1-consumer,oneacrefund/sapb1-consumer,60,60,0,0,YES,60,60,0,0,YES
oneacrefund/sapb1-erply-consumer,oneacrefund/sapb1-erply-consumer,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/sapb1-erply-producer,oneacrefund/sapb1-erply-producer,60,60,0,0,YES,60,60,0,0,YES
oneacrefund/sapb1-master-data-consumer,oneacrefund/sapb1-master-data-consumer,60,67,0,7,YES,67,68,3,4,NO
oneacrefund/sapb1-odoo-consumer,oneacrefund/sapb1-odoo-consumer,60,83,0,23,YES,114,87,46,19,NO
oneacrefund/sapb1-producer,oneacrefund/sapb1-producer,60,64,0,4,YES,122,88,34,0,NO
oneacrefund/scheduler,oneacrefund/scheduler,60,103,0,43,YES,120,103,17,0,NO
oneacrefund/sf-cache,oneacrefund/sf-cache,40,40,0,0,YES,40,40,0,0,YES
oneacrefund/sf-cache-etl,oneacrefund/sf-cache-etl,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/sf-fetch-employee-data,oneacrefund/sf-fetch-employee-data,40,40,0,0,YES,40,40,0,0,YES
oneacrefund/sf-producer,oneacrefund/sf-producer,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/sf-sync,oneacrefund/sf-sync,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/shopxp-backend,oneacrefund/shopxp-backend,6,6,0,0,YES,18,18,0,0,YES
oneacrefund/shs-migrator,oneacrefund/shs-migrator,1,1,0,0,YES,3,3,0,0,YES
oneacrefund/sns,oneacrefund/sns,60,68,0,8,YES,287,267,20,0,NO
oneacrefund/superset,oneacrefund/superset,57,57,0,0,YES,101,101,0,0,YES
oneacrefund/sydent,oneacrefund/sydent,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/sync-gw-dataset,oneacrefund/sync-gw-dataset,60,103,0,43,YES,120,103,17,0,NO
oneacrefund/tnm-connector,oneacrefund/tnm-connector,13,13,0,0,YES,14,14,0,0,YES
oneacrefund/tupande-connector,oneacrefund/tupande-connector,6,6,0,0,YES,7,8,0,1,YES
oneacrefund/tupande_timiza,oneacrefund/tupande_timiza,61,70,1,10,NO,92,71,21,0,NO
oneacrefund/uptime-kuma-wrapper,oneacrefund/uptime-kuma-wrapper,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/uptime-wrapper-api,oneacrefund/uptime-wrapper-api,3,3,0,0,YES,6,6,0,0,YES
openfaas/faas-netes,openfaas/faas-netes,1,1,0,0,YES,1,1,0,0,YES
openfaas/gateway,openfaas/gateway,1,1,0,0,YES,1,1,0,0,YES
openfaas/of-watchdog,openfaas/of-watchdog,1,1,0,0,YES,1,1,0,0,YES
openfaas/queue-worker,openfaas/queue-worker,1,1,0,0,YES,1,1,0,0,YES
phee-ns/message-gateway,phee-ns/message-gateway,5,5,0,0,YES,4,4,0,0,YES
phee-ns/ops-web,phee-ns/ops-web,5,5,0,0,YES,5,5,0,0,YES
phee-ns/ph-ee-connector-ams-paygops,phee-ns/ph-ee-connector-ams-paygops,5,5,0,0,YES,5,5,0,0,YES
phee-ns/ph-ee-connector-ams-pesa,phee-ns/ph-ee-connector-ams-pesa,5,5,0,0,YES,5,5,0,0,YES
phee-ns/ph-ee-connector-channel,phee-ns/ph-ee-connector-channel,5,5,0,0,YES,5,5,0,0,YES
phee-ns/ph-ee-connector-mpesa,phee-ns/ph-ee-connector-mpesa,5,5,0,0,YES,5,5,0,0,YES
phee-ns/ph-ee-connector-slcb,phee-ns/ph-ee-connector-slcb,4,4,0,0,YES,4,4,0,0,YES
phee-ns/ph-ee-importer-es,phee-ns/ph-ee-importer-es,5,5,0,0,YES,5,5,0,0,YES
phee-ns/ph-ee-importer-rdbms,phee-ns/ph-ee-importer-rdbms,5,5,0,0,YES,5,5,0,0,YES
phee-ns/ph-ee-notifications,phee-ns/ph-ee-notifications,5,8,0,3,YES,5,7,0,2,YES
phee-ns/ph-ee-operations-app,phee-ns/ph-ee-operations-app,5,5,0,0,YES,5,5,0,0,YES
phee-ns/ph-ee-operations-web,phee-ns/ph-ee-operations-web,1,1,0,0,YES,1,1,0,0,YES
phee-ns/ph-ee-ops-web,phee-ns/ph-ee-ops-web,1,1,0,0,YES,1,1,0,0,YES
