acr_repo,ecr_repo,acr_tags,acr_manifests,ecr_tags,ecr_manifests,acr_only_tags,ecr_only_tags,tags_match,manifests_match
oneacrefund/erply-consumer,oneacrefund/erply-consumer,60,60,60,60,0,0,YES,YES
oneacrefund/erply-create-payment,oneacrefund/erply-create-payment,1,1,1,1,0,0,YES,YES
oneacrefund/erply-payment,oneacrefund/erply-payment,40,40,40,40,0,0,YES,YES
oneacrefund/event-publisher,oneacrefund/event-publisher,4,4,4,4,0,0,YES,YES
oneacrefund/fds-api,oneacrefund/fds-api,69,114,106,106,0,37,NO,NO
oneacrefund/fds-consumer,oneacrefund/fds-consumer,65,78,70,70,0,5,NO,NO
oneacrefund/ffp-consumer,oneacrefund/ffp-consumer,1,1,1,1,0,0,YES,YES
oneacrefund/fineract-backend,oneacrefund/fineract-backend,78,137,91,91,0,13,NO,NO
oneacrefund/fineract-frontend,oneacrefund/fineract-frontend,60,86,60,86,0,0,YES,YES
oneacrefund/fineract-frontend-v2,oneacrefund/fineract-frontend-v2,65,115,77,83,0,12,NO,NO
oneacrefund/fleet,oneacrefund/fleet,3,4,3,5,0,0,YES,NO
oneacrefund/flink,oneacrefund/flink,1,1,1,1,0,0,YES,YES
oneacrefund/jenkins,oneacrefund/jenkins,1,1,1,1,0,0,YES,YES
oneacrefund/k8s-elastalert,oneacrefund/k8s-elastalert,7,7,7,7,0,0,YES,YES
oneacrefund/k8s-kibana,oneacrefund/k8s-kibana,83,228,96,194,0,13,NO,NO
oneacrefund/k8s-logstash,oneacrefund/k8s-logstash,57,57,57,57,0,0,YES,YES
oneacrefund/k8s-logstash-polling,oneacrefund/k8s-logstash-polling,57,57,57,57,0,0,YES,YES
oneacrefund/keycloak-api,oneacrefund/keycloak-api,65,125,85,87,0,20,NO,NO
oneacrefund/keycloak-themes,oneacrefund/keycloak-themes,60,59,60,60,0,0,YES,NO
oneacrefund/kibana,oneacrefund/kibana,32,26,32,32,0,0,YES,NO
oneacrefund/knowi-agent,oneacrefund/knowi-agent,2,2,2,2,0,0,YES,YES
oneacrefund/logistics-app,oneacrefund/logistics-app,40,56,40,56,0,0,YES,YES
oneacrefund/logstash,oneacrefund/logstash,8,9,8,10,0,0,YES,NO
oneacrefund/master-data-odoo-consumer,oneacrefund/master-data-odoo-consumer,1,1,1,1,0,0,YES,YES
oneacrefund/message-gateway,oneacrefund/message-gateway,60,60,60,60,0,0,YES,YES
oneacrefund/metabase,oneacrefund/metabase,1,1,1,1,0,0,YES,YES
oneacrefund/mpesa-connector,oneacrefund/mpesa-connector,31,33,31,33,0,0,YES,YES
oneacrefund/msg-refresh-v3,oneacrefund/msg-refresh-v3,1,1,1,1,0,0,YES,YES
oneacrefund/mtn-connector,oneacrefund/mtn-connector,39,40,41,43,0,2,NO,NO
oneacrefund/mw-ai-services,oneacrefund/mw-ai-services,37,37,37,37,0,0,YES,YES
oneacrefund/my-project-api,oneacrefund/my-project-api,11,17,11,11,0,0,YES,NO
oneacrefund/my-project-worker,oneacrefund/my-project-worker,8,14,8,8,0,0,YES,NO
oneacrefund/n8n,oneacrefund/n8n,45,77,45,77,0,0,YES,YES
oneacrefund/notificationapi,oneacrefund/notificationapi,1,1,1,1,0,0,YES,YES
oneacrefund/oaf-client-update,oneacrefund/oaf-client-update,2,2,2,2,0,0,YES,YES
oneacrefund/oaf-dbt,oneacrefund/oaf-dbt,1,1,1,1,0,0,YES,YES
oneacrefund/oaf-jenkins,oneacrefund/oaf-jenkins,64,17,74,74,0,10,NO,NO
oneacrefund/oaf-logstash,oneacrefund/oaf-logstash,8,21,8,22,0,0,YES,NO
oneacrefund/oaf-moodle,oneacrefund/oaf-moodle,40,66,40,66,0,0,YES,YES
oneacrefund/oaf-odoo-data-migration,oneacrefund/oaf-odoo-data-migration,2,2,2,2,0,0,YES,YES
oneacrefund/oaf-toolbox,oneacrefund/oaf-toolbox,8,8,8,8,0,0,YES,YES
oneacrefund/ocs-fulfillment-plan,oneacrefund/ocs-fulfillment-plan,60,60,60,60,0,0,YES,YES
oneacrefund/ocs-reserve-consumer,oneacrefund/ocs-reserve-consumer,60,60,60,60,0,0,YES,YES
oneacrefund/odoo,oneacrefund/odoo,101,360,160,478,0,59,NO,NO
oneacrefund/odoo-cache,oneacrefund/odoo-cache,40,40,40,40,0,0,YES,YES
oneacrefund/odoo-locust,oneacrefund/odoo-locust,0,0,1,1,0,1,NO,NO
oneacrefund/odoo-procurement,oneacrefund/odoo-procurement,13,39,13,39,0,0,YES,YES
oneacrefund/odoo-producer,oneacrefund/odoo-producer,60,78,62,64,0,2,NO,NO
oneacrefund/odoo-sapb1-consumer,oneacrefund/odoo-sapb1-consumer,60,120,84,86,0,24,NO,NO
oneacrefund/odoo-sapb1-sales-consumer,oneacrefund/odoo-sapb1-sales-consumer,60,120,65,65,0,5,NO,NO
oneacrefund/odoo-service,oneacrefund/odoo-service,0,0,0,0,0,0,YES,YES
oneacrefund/odoo-utilities,oneacrefund/odoo-utilities,76,288,109,327,0,33,NO,NO
oneacrefund/offlinewritesserviceapi,oneacrefund/offlinewritesserviceapi,60,240,65,195,0,5,NO,NO
oneacrefund/oneacrefund,oneacrefund/oneacrefund,4,8,4,4,0,0,YES,NO
oneacrefund/operations-app,oneacrefund/operations-app,30,32,30,32,0,0,YES,YES
oneacrefund/orderingservice,oneacrefund/orderingservice,7,7,7,7,0,0,YES,YES
oneacrefund/paygops-ams-connector,oneacrefund/paygops-ams-connector,14,13,14,14,0,0,YES,NO
oneacrefund/payment-gateway-consumer,oneacrefund/payment-gateway-consumer,60,78,63,63,0,3,NO,NO
oneacrefund/payment-gateway-wrapper,oneacrefund/payment-gateway-wrapper,60,136,69,117,0,9,NO,NO
oneacrefund/paymentconsumer,oneacrefund/paymentconsumer,1,1,1,1,0,0,YES,YES
oneacrefund/payments_pesa_autosave_consumer,oneacrefund/payments_pesa_autosave_consumer,16,16,16,16,0,0,YES,YES
oneacrefund/payments_pesa_core,oneacrefund/payments_pesa_core,14,14,14,14,0,0,YES,YES
oneacrefund/payments_pesa_equity_bank,oneacrefund/payments_pesa_equity_bank,16,16,16,16,0,0,YES,YES
oneacrefund/payments_pesa_payment_consumer,oneacrefund/payments_pesa_payment_consumer,16,16,16,16,0,0,YES,YES
oneacrefund/pesa_autosave_consumer,oneacrefund/pesa_autosave_consumer,60,60,60,60,0,0,YES,YES
oneacrefund/pesa_bancobu,oneacrefund/pesa_bancobu,40,40,40,40,0,0,YES,YES
oneacrefund/pesa_bank_of_kigali,oneacrefund/pesa_bank_of_kigali,13,13,13,13,0,0,YES,YES
oneacrefund/pesa_bc,oneacrefund/pesa_bc,3,3,3,3,0,0,YES,YES
oneacrefund/pesa_beyonic,oneacrefund/pesa_beyonic,41,41,41,41,0,0,YES,YES
oneacrefund/pesa_bk,oneacrefund/pesa_bk,40,40,40,40,0,0,YES,YES
oneacrefund/pesa_core,oneacrefund/pesa_core,40,40,40,40,0,0,YES,YES
oneacrefund/pesa_equity_bank,oneacrefund/pesa_equity_bank,40,40,40,40,0,0,YES,YES
oneacrefund/pesa_fbn,oneacrefund/pesa_fbn,51,51,51,51,0,0,YES,YES
oneacrefund/pesa_first_bank,oneacrefund/pesa_first_bank,13,13,13,13,0,0,YES,YES
oneacrefund/pesa_payment_consumer,oneacrefund/pesa_payment_consumer,60,60,60,60,0,0,YES,YES
oneacrefund/ph-ee-connector-ams-fineract,oneacrefund/ph-ee-connector-ams-fineract,42,43,42,44,0,0,YES,NO
oneacrefund/ph-ee-connector-ams-odoo,oneacrefund/ph-ee-connector-ams-odoo,13,15,13,18,0,0,YES,NO
oneacrefund/ph-ee-connector-ams-pesa,oneacrefund/ph-ee-connector-ams-pesa,5,5,5,5,0,0,YES,YES
oneacrefund/ph-ee-connector-bancobu,oneacrefund/ph-ee-connector-bancobu,8,10,9,11,0,1,NO,NO
oneacrefund/ph-ee-connector-channel,oneacrefund/ph-ee-connector-channel,1,1,1,1,0,0,YES,YES
oneacrefund/ph-ee-connector-mpesa,oneacrefund/ph-ee-connector-mpesa,7,7,7,7,0,0,YES,YES
oneacrefund/ph-ee-connector-nbs,oneacrefund/ph-ee-connector-nbs,6,8,6,8,0,0,YES,YES
oneacrefund/ph-ee-importer-es,oneacrefund/ph-ee-importer-es,3,5,3,5,0,0,YES,YES
oneacrefund/ph-ee-importer-rdbms,oneacrefund/ph-ee-importer-rdbms,12,13,12,14,0,0,YES,NO
oneacrefund/ph-ee-operations-web,oneacrefund/ph-ee-operations-web,44,47,44,48,0,0,YES,NO
oneacrefund/rabbitmq-connector,oneacrefund/rabbitmq-connector,3,15,9,30,0,6,NO,NO
oneacrefund/rabbitmq-external-connector,oneacrefund/rabbitmq-external-connector,61,79,61,64,0,0,YES,NO
oneacrefund/redis-service,oneacrefund/redis-service,60,60,60,60,0,0,YES,YES
oneacrefund/refresh,oneacrefund/refresh,77,132,103,103,0,26,NO,NO
oneacrefund/retry-service,oneacrefund/retry-service,60,112,60,62,0,0,YES,NO
