acr_repo,ecr_repo,acr_tags,acr_manifests,ecr_tags,ecr_manifests,acr_only_tags,tags_match,manifests_match,ecr_only_tags
oneacrefund/odoo-utilities,oneacrefund/odoo-utilities,76,288,109,327,0,YES,NO,33
oneacrefund/offlinewritesserviceapi,oneacrefund/offlinewritesserviceapi,60,240,65,195,0,YES,NO,5
oneacrefund/oneacrefund,oneacrefund/oneacrefund,4,8,4,4,0,YES,NO,0
oneacrefund/operations-app,oneacrefund/operations-app,30,32,30,32,0,YES,YES,0
oneacrefund/orderingservice,oneacrefund/orderingservice,7,7,7,7,0,YES,YES,0
oneacrefund/paygops-ams-connector,oneacrefund/paygops-ams-connector,14,13,14,14,0,YES,NO,0
oneacrefund/payment-gateway-consumer,oneacrefund/payment-gateway-consumer,60,78,63,63,0,YES,NO,3
oneacrefund/payment-gateway-wrapper,oneacrefund/payment-gateway-wrapper,60,136,69,117,0,YES,NO,9
oneacrefund/paymentconsumer,oneacrefund/paymentconsumer,1,1,1,1,0,YES,YES,0
oneacrefund/payments_pesa_autosave_consumer,oneacrefund/payments_pesa_autosave_consumer,16,16,16,16,0,YES,YES,0
oneacrefund/payments_pesa_core,oneacrefund/payments_pesa_core,14,14,14,14,0,YES,YES,0
oneacrefund/payments_pesa_equity_bank,oneacrefund/payments_pesa_equity_bank,16,16,16,16,0,YES,YES,0
oneacrefund/payments_pesa_payment_consumer,oneacrefund/payments_pesa_payment_consumer,16,16,16,16,0,YES,YES,0
oneacrefund/pesa_autosave_consumer,oneacrefund/pesa_autosave_consumer,60,60,60,60,0,YES,YES,0
oneacrefund/pesa_bancobu,oneacrefund/pesa_bancobu,40,40,40,40,0,YES,YES,0
oneacrefund/pesa_bank_of_kigali,oneacrefund/pesa_bank_of_kigali,13,13,13,13,0,YES,YES,0
oneacrefund/pesa_bc,oneacrefund/pesa_bc,3,3,3,3,0,YES,YES,0
oneacrefund/pesa_beyonic,oneacrefund/pesa_beyonic,41,41,41,41,0,YES,YES,0
oneacrefund/pesa_bk,oneacrefund/pesa_bk,40,40,40,40,0,YES,YES,0
oneacrefund/pesa_core,oneacrefund/pesa_core,40,40,40,40,0,YES,YES,0
oneacrefund/pesa_equity_bank,oneacrefund/pesa_equity_bank,40,40,40,40,0,YES,YES,0
oneacrefund/pesa_fbn,oneacrefund/pesa_fbn,51,51,51,51,0,YES,YES,0
oneacrefund/pesa_first_bank,oneacrefund/pesa_first_bank,13,13,13,13,0,YES,YES,0
oneacrefund/pesa_payment_consumer,oneacrefund/pesa_payment_consumer,60,60,60,60,0,YES,YES,0
oneacrefund/ph-ee-connector-ams-fineract,oneacrefund/ph-ee-connector-ams-fineract,42,43,42,44,0,YES,NO,0
oneacrefund/ph-ee-connector-ams-odoo,oneacrefund/ph-ee-connector-ams-odoo,13,15,13,18,0,YES,NO,0
oneacrefund/ph-ee-connector-ams-pesa,oneacrefund/ph-ee-connector-ams-pesa,5,5,5,5,0,YES,YES,0
oneacrefund/ph-ee-connector-bancobu,oneacrefund/ph-ee-connector-bancobu,8,10,10,13,0,YES,NO,2
oneacrefund/ph-ee-connector-channel,oneacrefund/ph-ee-connector-channel,1,1,1,1,0,YES,YES,0
oneacrefund/ph-ee-connector-mpesa,oneacrefund/ph-ee-connector-mpesa,7,7,7,7,0,YES,YES,0
oneacrefund/ph-ee-connector-nbs,oneacrefund/ph-ee-connector-nbs,6,8,6,8,0,YES,YES,0
oneacrefund/ph-ee-importer-es,oneacrefund/ph-ee-importer-es,3,5,3,5,0,YES,YES,0
oneacrefund/ph-ee-importer-rdbms,oneacrefund/ph-ee-importer-rdbms,12,13,12,14,0,YES,NO,0
oneacrefund/ph-ee-operations-web,oneacrefund/ph-ee-operations-web,44,47,44,48,0,YES,NO,0
oneacrefund/rabbitmq-connector,oneacrefund/rabbitmq-connector,3,15,9,30,0,YES,NO,6
oneacrefund/rabbitmq-external-connector,oneacrefund/rabbitmq-external-connector,61,79,61,64,0,YES,NO,0
oneacrefund/redis-service,oneacrefund/redis-service,60,60,60,60,0,YES,YES,0
oneacrefund/refresh,oneacrefund/refresh,77,132,103,103,0,YES,NO,26
oneacrefund/retry-service,oneacrefund/retry-service,60,112,60,62,0,YES,NO,0
oneacrefund/roster-dataset,oneacrefund/roster-dataset,77,132,103,103,0,YES,NO,26
oneacrefund/rts-api,oneacrefund/rts-api,60,64,60,60,0,YES,NO,0
oneacrefund/rts-consumer,oneacrefund/rts-consumer,60,120,65,65,0,YES,NO,5
oneacrefund/rts-ui,oneacrefund/rts-ui,40,40,40,40,0,YES,YES,0
oneacrefund/sage-300-core,oneacrefund/sage-300-core,40,40,40,40,0,YES,YES,0
oneacrefund/sage-300-cron-connector,oneacrefund/sage-300-cron-connector,1,1,1,1,0,YES,YES,0
oneacrefund/sage-300-cron-proxy,oneacrefund/sage-300-cron-proxy,1,1,1,1,0,YES,YES,0
oneacrefund/sage-300-rabbitmq-connector,oneacrefund/sage-300-rabbitmq-connector,1,1,1,1,0,YES,YES,0
oneacrefund/sage-300-rabbitmq-proxy,oneacrefund/sage-300-rabbitmq-proxy,1,1,1,1,0,YES,YES,0
oneacrefund/sanction-screen-api,oneacrefund/sanction-screen-api,61,65,61,64,0,YES,NO,0
oneacrefund/sapb1-cache,oneacrefund/sapb1-cache,40,40,40,40,0,YES,YES,0
oneacrefund/sapb1-consumer,oneacrefund/sapb1-consumer,60,60,60,60,0,YES,YES,0
oneacrefund/sapb1-erply-consumer,oneacrefund/sapb1-erply-consumer,1,1,1,1,0,YES,YES,0
oneacrefund/sapb1-erply-producer,oneacrefund/sapb1-erply-producer,60,60,60,60,0,YES,YES,0
oneacrefund/sapb1-master-data-consumer,oneacrefund/sapb1-master-data-consumer,63,67,67,68,0,YES,NO,4
oneacrefund/sapb1-odoo-consumer,oneacrefund/sapb1-odoo-consumer,64,114,83,87,0,YES,NO,19
oneacrefund/sapb1-producer,oneacrefund/sapb1-producer,60,122,64,88,0,YES,NO,4
oneacrefund/scheduler,oneacrefund/scheduler,77,132,103,103,0,YES,NO,26
oneacrefund/sf-cache,oneacrefund/sf-cache,40,40,40,40,0,YES,YES,0
oneacrefund/sf-cache-etl,oneacrefund/sf-cache-etl,1,1,1,1,0,YES,YES,0
oneacrefund/sf-fetch-employee-data,oneacrefund/sf-fetch-employee-data,40,40,40,40,0,YES,YES,0
oneacrefund/sf-producer,oneacrefund/sf-producer,1,1,1,1,0,YES,YES,0
oneacrefund/sf-sync,oneacrefund/sf-sync,1,1,1,1,0,YES,YES,0
oneacrefund/shopxp-backend,oneacrefund/shopxp-backend,6,18,6,18,0,YES,YES,0
oneacrefund/shs-migrator,oneacrefund/shs-migrator,1,3,1,3,0,YES,YES,0
oneacrefund/sns,oneacrefund/sns,66,305,68,270,0,YES,NO,2
oneacrefund/superset,oneacrefund/superset,57,101,57,101,0,YES,YES,0
oneacrefund/sydent,oneacrefund/sydent,1,1,1,1,0,YES,YES,0
oneacrefund/sync-gw-dataset,oneacrefund/sync-gw-dataset,77,132,103,103,0,YES,NO,26
oneacrefund/tnm-connector,oneacrefund/tnm-connector,13,14,13,15,0,YES,NO,0
oneacrefund/tupande-connector,oneacrefund/tupande-connector,6,7,6,8,0,YES,NO,0
oneacrefund/tupande_timiza,oneacrefund/tupande_timiza,68,91,70,71,0,YES,NO,2
oneacrefund/uptime-kuma-wrapper,oneacrefund/uptime-kuma-wrapper,1,1,1,1,0,YES,YES,0
oneacrefund/uptime-wrapper-api,oneacrefund/uptime-wrapper-api,3,6,3,7,0,YES,NO,0
openfaas/faas-netes,openfaas/faas-netes,1,1,1,1,0,YES,YES,0
openfaas/gateway,openfaas/gateway,1,1,1,1,0,YES,YES,0
openfaas/of-watchdog,openfaas/of-watchdog,1,1,1,1,0,YES,YES,0
openfaas/queue-worker,openfaas/queue-worker,1,1,1,1,0,YES,YES,0
phee-ns/message-gateway,phee-ns/message-gateway,5,4,5,5,0,YES,NO,0
phee-ns/ops-web,phee-ns/ops-web,5,5,5,5,0,YES,YES,0
phee-ns/ph-ee-connector-ams-paygops,phee-ns/ph-ee-connector-ams-paygops,5,5,5,5,0,YES,YES,0
phee-ns/ph-ee-connector-ams-pesa,phee-ns/ph-ee-connector-ams-pesa,5,5,5,5,0,YES,YES,0
phee-ns/ph-ee-connector-channel,phee-ns/ph-ee-connector-channel,5,5,5,5,0,YES,YES,0
phee-ns/ph-ee-connector-mpesa,phee-ns/ph-ee-connector-mpesa,5,5,5,5,0,YES,YES,0
